,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av
168 St,0.0,1.0,2.3669985775248925,7.880512091038408,9.338549075391178,9.328947368421051,9.703413940256045,9.72972972972973,11.60526315789474,11.58534850640114,11.58534850640114,11.447972972972977,11.525604551920345,11.525604551920345,13.338549075391178,14.311403508771924,15.775248933143665,18.08333333333333
145 St,1.0,0.0,0.5,6.013513513513514,7.445234708392604,7.434210526315791,7.810099573257467,7.833783783783783,9.684210526315791,9.66571834992888,9.66571834992888,9.527027027027028,9.60597439544808,9.60597439544808,11.41891891891892,12.393274853801167,13.855618776671413,16.16666666666667
125 St,1.7465886939571158,0.5,0.0,5.5,6.93172119487909,6.907894736842106,7.283072546230443,7.306756756756759,9.144736842105264,9.12517780938834,9.12517780938834,8.972972972972972,9.051920341394027,9.05192034139403,10.851351351351354,11.823830409356724,13.274537695590332,15.583333333333336
59 St-Columbus Circle,6.4532163742690045,5.188909774436091,4.680311890838206,0.0,1.4580369843527734,1.4342105263157894,1.8093883357041243,1.8567567567567558,3.6973684210526336,3.677809388335705,3.6778093883357066,3.547972972972971,3.630867709815078,3.630867709815078,5.456614509246091,6.4290935672514635,7.90611664295875,10.222222222222221
42 St-Port Authority Bus Terminal,8.453216374269005,7.320488721804512,6.811890838206629,2.2777777777777777,0.0,0.013157894736842035,0.40540540540540526,0.40540540540540526,2.276315789473683,2.273826458036984,2.273826458036984,2.212162162162162,2.2411095305832127,2.2411095305832127,4.119487908961592,5.111111111111111,6.568990042674251,8.902777777777779
34 St-Penn Station,8.119883040935672,6.963345864661655,6.441520467836259,1.9074074074074074,0.5,0.0,0.40540540540540526,0.40540540540540526,2.276315789473683,2.273826458036984,2.273826458036984,2.19864864864865,2.2275960170697005,2.2275960170697005,4.092460881934564,5.083333333333332,6.528449502133711,8.861111111111114
14 St,8.242690058479532,7.092105263157894,6.564327485380115,2.0462962962962967,0.628759398496241,0.12875939849624052,0.0,0.0,1.8684210526315788,1.8684210526315788,1.8684210526315788,1.8317567567567554,1.8620199146514924,1.8620199146514924,3.766714082503558,4.760964912280702,6.2425320056899025,8.583333333333336
W 4 St-Wash Sq,8.742690058479528,7.592105263157894,7.064327485380115,2.5462962962962976,1.128759398496241,0.628759398496241,0.5,0.0,1.8684210526315788,1.8684210526315788,1.8684210526315788,1.8182432432432432,1.8485064011379801,1.8485064011379801,3.73968705547653,4.733187134502927,6.201991465149362,8.541666666666671
Canal St,9.742690058479528,8.592105263157897,8.064327485380115,3.5462962962962976,2.128759398496239,1.62875939849624,1.5,1.0,0.0,0.0,0.0,-0.05675675675675684,-0.046230440967281794,-0.046230440967281794,1.8186344238975813,2.8121345029239784,4.2546230440967285,6.569444444444443
Chambers St,10.242690058479528,9.092105263157897,8.564327485380115,4.046296296296296,2.628759398496239,2.128759398496239,2.0,1.5,0.5,0.0,0.0,-0.05675675675675684,-0.04623044096728357,-0.046230440967281794,1.8186344238975831,2.8121345029239784,4.2546230440967285,6.569444444444443
Fulton St,10.242690058479528,9.092105263157897,8.564327485380119,4.046296296296296,2.628759398496239,2.128759398496239,2.0,1.5,0.5,0.0,0.0,-0.0567567567567564,-0.04623044096728357,-0.04623044096728357,1.8186344238975831,2.8121345029239766,4.2546230440967285,6.569444444444446
High St,10.242690058479532,9.092105263157897,8.564327485380119,4.046296296296294,2.628759398496241,2.128759398496241,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,1.864864864864865,2.8654970760233915,4.30085348506401,6.611111111111111
Jay St-MetroTech,10.242690058479532,9.092105263157897,8.564327485380119,4.046296296296294,2.6287593984962427,2.1287593984962427,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,1.864864864864865,2.8654970760233915,4.30085348506401,6.611111111111111
Hoyt-Schermerhorn Sts,10.25243664717349,9.107142857142854,8.574074074074073,4.064814814814813,2.643796992481203,2.143796992481203,2.018518518518519,1.5128205128205128,0.5097465886939556,0.01851851851851727,0.012820512820512775,0.009746588693957392,0.004048582995951566,0.0,1.864864864864865,2.8654970760233915,4.30085348506401,6.611111111111111
Nostrand Av,12.515594541910332,11.396616541353382,10.863547758284604,6.398148148148149,4.9859022556391,4.4859022556391,4.37962962962963,3.8739316239316253,2.878167641325536,2.4074074074074066,2.401709401709402,2.4044834307992193,2.398785425101214,2.394736842105263,0.0,1.0043859649122808,2.4623044096728313,4.777777777777777
Utica Av,13.515594541910332,12.396616541353382,11.863547758284604,7.398148148148149,5.9859022556391,5.4859022556391,5.37962962962963,4.873931623931625,3.878167641325536,3.4074074074074083,3.401709401709404,3.4044834307992193,3.398785425101215,3.3947368421052637,1.0,0.0,1.5,3.833333333333334
Broadway Junction,15.015594541910332,13.896616541353382,13.363547758284604,8.898148148148152,7.4859022556391,6.9859022556391,6.87962962962963,6.373931623931625,5.378167641325536,4.907407407407408,4.901709401709404,4.904483430799221,4.898785425101217,4.894736842105264,2.5,1.5,0.0,2.2777777777777777
Euclid Av,17.269980506822613,16.15695488721805,15.617933723196877,11.148148148148145,9.746240601503757,9.246240601503757,9.12962962962963,8.617521367521366,7.57699805068226,7.101851851851851,7.106837606837605,7.121832358674464,7.108299595141698,7.104251012145747,4.762820512820513,3.7672064777327936,1.5,0.0
