,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Euclid Av,-10.466988727858286,-10.915551839464875,-11.204013377926422,-11.314412238325282,-11.314412238325282,-11.321118991331758,-11.216555183946483,-10.930602006688964,-7.749163879598662,-7.687290969899671,-7.648829431438131,-7.467391304347824,-7.429623567921439,-6.948085106382976,-6.564238952536826,-6.585515548281506,-6.849361702127659,-6.189361702127659,-6.189361702127659,-4.638333333333334,-3.7974468085106388,-1.2692307692307692,0.0,-0.588888888888889,-0.47727272727272707,-0.44318181818181834,-0.28409090909090917,-0.2391304347826093,-0.2391304347826093,0.0452173913043481,1.7262845849802382,1.7262845849802382,1.9130434782608674,2.2400362318840585,2.469202898550723,2.4130434782608674,2.4130434782608674,2.8260869565217384,2.778079710144926,,,,
Grant Av,-10.466988727858293,-10.915551839464875,-11.204013377926422,-11.314412238325282,-11.314412238325282,-11.321118991331758,-11.216555183946483,-10.930602006688964,-7.749163879598662,-7.744983277591977,-7.706521739130437,-7.5250836120401345,-7.487315875613746,-7.008085106382978,-6.6219312602291325,-6.653846153846153,-6.920000000000002,-6.260000000000002,-6.260000000000002,-4.74808510638298,-3.9073913043478257,-1.365384615384615,0.0,0.0,0.125,0.15909090909090917,0.31818181818181834,0.8043478260869561,0.8043478260869561,1.0886956521739126,1.8626482213438749,1.8626482213438749,2.0652173913043477,2.392210144927539,2.621376811594203,2.5652173913043477,2.5652173913043477,2.978260869565215,2.9302536231884027,,,,
80 St,-10.466988727858293,-10.915551839464875,-11.204013377926422,-11.314412238325282,-11.314412238325282,-11.321118991331758,-11.216555183946483,-10.930602006688964,-7.749163879598662,-7.744983277591977,-7.706521739130437,-7.5250836120401345,-7.487315875613746,-7.008085106382978,-6.6219312602291325,-6.653846153846153,-6.920000000000002,-6.260000000000002,-6.260000000000002,-4.74808510638298,-3.9073913043478257,-1.365384615384615,0.0,0.0,0.0,0.03409090909090917,0.19318181818181834,0.6739130434782608,0.6739130434782608,0.9582608695652182,1.7262845849802373,1.7262845849802382,1.9130434782608674,2.2400362318840585,2.469202898550723,2.4130434782608674,2.4130434782608674,2.8260869565217384,2.7780797101449295,,,,
88 St,-10.152173913043484,-10.588628762541816,-10.877090301003342,-10.98107890499194,-10.98107890499194,-10.987785657998415,-10.870401337792643,-10.584448160535118,-7.3837792642140485,-7.3603678929765906,-7.3219063545150505,-7.140468227424748,-7.102700490998366,-6.60808510638298,-6.218085106382979,-6.25,-6.5,-5.84,-5.84,-4.308085106382979,-3.467391304347826,-0.9230769230769234,0.4651162790697674,0.46590909090909083,0.46590909090909083,0.0,0.15909090909090917,0.5,0.5,0.7843478260869565,1.862648221343873,1.862648221343874,2.065217391304346,2.392210144927539,2.621376811594203,2.5652173913043477,2.5652173913043477,2.978260869565215,2.930253623188406,,,,
Rockaway Blvd,-10.152173913043484,-10.588628762541816,-10.87709030100335,-10.98107890499194,-10.98107890499194,-10.987785657998415,-10.870401337792643,-10.584448160535118,-7.3837792642140485,-7.3603678929765906,-7.3219063545150505,-7.140468227424748,-7.102700490998366,-6.60808510638298,-6.218085106382979,-6.25,-6.5,-5.84,-5.84,-4.308085106382979,-3.467391304347826,-0.9230769230769234,0.4651162790697674,0.46590909090909083,0.46590909090909083,0.0,0.0,-0.30434782608695654,-0.30434782608695654,0.0,0.34090909090909083,0.34090909090909083,0.5434782608695645,0.9338768115942031,1.163043478260871,1.1521739130434803,1.1521739130434803,1.5652173913043477,1.5760869565217384,,,,
104 St,0.026086956521737648,-0.03913043478260647,-0.03913043478260647,-0.03913043478260647,-0.03913043478260647,-0.03913043478260647,0.07065217391304657,0.027173913043476716,-1.5478260869565261,-1.5815217391304373,-1.5815217391304373,-1.7282608695652186,-1.7282608695652186,-1.4782608695652186,-2.1782608695652215,-2.200000000000003,-2.75,-2.75,-2.75,-1.6847826086956523,-1.1847826086956523,-0.5999999999999996,0.4761904761904763,0.4761904761904763,0.4761904761904763,0.0,0.0,0.0,0.0,0.30434782608695654,,,,,,,,,,,,,
111 St,0.9391304347826122,1.047826086956519,1.047826086956519,1.047826086956519,1.047826086956519,1.047826086956519,1.157608695652172,1.201086956521742,-1.373913043478261,-1.657608695652172,-1.657608695652172,-1.7608695652173907,-1.7608695652173907,-1.5108695652173907,-2.9608695652173935,-2.982608695652175,-4.032608695652172,-3.9772727272727266,-3.9772727272727266,-2.9239130434782616,-2.4239130434782616,-2.3391304347826107,1.9472049689440993,1.9472049689440993,1.9472049689441002,1.471014492753623,1.471014492753623,0.06818181818181812,0.0,0.30434782608695654,,,,,,,,,,,,,
Ozone Park-Lefferts Blvd,0.9391304347826122,1.047826086956519,1.047826086956519,1.047826086956519,1.047826086956519,1.047826086956519,1.157608695652172,1.201086956521742,-1.373913043478261,-1.657608695652172,-1.657608695652172,-1.7608695652173907,-1.7608695652173907,-1.5108695652173907,-2.9608695652173935,-2.982608695652175,-4.032608695652172,-3.9772727272727266,-3.9772727272727266,-2.9239130434782616,-2.4239130434782616,-2.3391304347826107,1.9472049689440993,1.9472049689440993,1.9472049689440993,1.471014492753624,1.471014492753623,0.06818181818181834,0.0,0.0,,,,,,,,,,,,,
Aqueduct-N Conduit Av,-12.448616600790515,-13.059006211180133,-13.416149068322994,-13.42588932806325,-13.42588932806325,-13.441287878787882,-12.850790513833985,-12.487154150197625,-8.756728778467902,-8.41106719367589,-8.365612648221344,-8.115612648221344,-8.071969696969703,-7.577380952380956,-7.172619047619051,-7.214285714285715,-7.214285714285715,-6.428571428571431,-6.428571428571431,-4.833333333333332,-3.928571428571427,-1.0,0.45454545454545503,0.4565217391304355,0.4565217391304346,0.0,0.0,,,,0.0,0.0,0.21739130434782616,0.6077898550724647,0.8369565217391308,0.8260869565217384,0.8260869565217384,1.2391304347826093,1.25,,,,
Howard Beach-JFK Airport,-12.448616600790515,-13.059006211180133,-13.416149068322994,-13.42588932806325,-13.42588932806325,-13.441287878787875,-12.850790513833985,-12.487154150197625,-8.756728778467902,-8.41106719367589,-8.365612648221344,-8.115612648221344,-8.071969696969703,-7.577380952380956,-7.172619047619051,-7.214285714285715,-7.214285714285715,-6.428571428571431,-6.428571428571431,-4.833333333333332,-3.928571428571427,-1.0,0.45454545454545503,0.4565217391304355,0.4565217391304355,0.0,0.0,,,,0.0,0.0,0.32608695652173925,0.6739130434782616,0.9030797101449277,0.8913043478260878,0.891304347826086,1.3043478260869534,1.2952898550724612,,,,
