,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Jay St-MetroTech,45.34782608695652,43.31521739130435,40.81521739130435,38.81521739130435,37.81521739130435,35.808510638297875,32.20652173913044,28.684782608695652,20.67391304347826,17.543478260869566,16.543478260869566,13.532608695652174,11.53191489361702,9.03191489361702,7.031914893617022,5.5,2.5,0.0,2.0,7.0,9.5,13.0,17.5,19.90625,21.414893617021278,22.914893617021278,24.427083333333332,26.479166666666668,27.979166666666668,29.44,30.391304347826086,32.391304347826086,39.391304347826086,43.833333333333336,45.5625,47.47826086956522,48.97826086956522,50.97826086956522,52.416666666666664,,,,
Hoyt-Schermerhorn Sts,46.84782608695652,44.81521739130435,42.31521739130435,40.31521739130435,39.31521739130435,37.308510638297875,33.70652173913044,30.184782608695652,22.17391304347826,19.043478260869566,18.043478260869566,15.032608695652174,13.03191489361702,10.53191489361702,8.53191489361702,7.0,4.0,1.5,0.0,5.0,7.5,11.0,15.5,17.90625,19.414893617021278,20.914893617021278,22.427083333333332,24.479166666666668,25.979166666666668,27.44,28.391304347826086,30.391304347826086,37.391304347826086,41.833333333333336,43.5625,45.47826086956522,46.97826086956522,48.97826086956522,50.416666666666664,,,,
Nostrand Av,51.34782608695652,49.31521739130435,46.81521739130435,44.81521739130435,43.81521739130435,41.808510638297875,38.20652173913044,34.68478260869565,26.67391304347826,23.543478260869566,22.543478260869566,19.532608695652176,17.53191489361702,15.03191489361702,13.03191489361702,11.5,8.5,6.0,4.5,0.0,2.5,6.0,10.5,12.90625,14.414893617021276,15.914893617021276,17.427083333333332,19.479166666666668,20.979166666666668,22.44,23.391304347826086,25.391304347826086,32.391304347826086,36.833333333333336,38.5625,40.47826086956522,41.97826086956522,43.97826086956522,45.416666666666664,,,,
Utica Av,53.84782608695652,51.81521739130435,49.31521739130435,47.31521739130435,46.31521739130435,44.308510638297875,40.70652173913044,37.18478260869565,29.17391304347826,26.043478260869566,25.043478260869566,22.032608695652176,20.03191489361702,17.53191489361702,15.53191489361702,14.0,11.0,8.5,7.0,2.5,0.0,3.5,8.0,10.40625,11.914893617021276,13.414893617021276,14.927083333333334,16.979166666666668,18.479166666666668,19.94,20.891304347826086,22.891304347826086,29.891304347826086,34.333333333333336,36.0625,37.97826086956522,39.47826086956522,41.47826086956522,42.916666666666664,,,,
Broadway Junction,57.34782608695652,55.31521739130435,52.81521739130435,50.81521739130435,49.81521739130435,47.808510638297875,44.20652173913044,40.68478260869565,32.67391304347826,29.543478260869566,28.543478260869566,25.532608695652176,23.53191489361702,21.03191489361702,19.03191489361702,17.5,14.5,12.0,10.5,6.0,3.5,0.0,4.5,6.90625,8.414893617021276,9.914893617021276,11.427083333333334,13.479166666666666,14.979166666666666,16.44,17.391304347826086,19.391304347826086,26.391304347826086,30.833333333333332,32.5625,34.47826086956522,35.97826086956522,37.97826086956522,39.416666666666664,,,,
Euclid Av,62.34782608695652,60.31521739130435,57.81521739130435,55.81521739130435,54.81521739130435,52.808510638297875,49.20652173913044,45.68478260869565,37.67391304347826,34.54347826086956,33.54347826086956,30.532608695652176,28.53191489361702,26.03191489361702,24.03191489361702,22.51063829787234,19.51063829787234,17.01063829787234,15.51063829787234,11.041666666666666,8.542553191489361,5.0,0.0,1.5,3.0,4.5,6.0,8.0,9.5,10.98,12.021739130434783,14.021739130434783,21.02173913043478,25.479166666666668,27.208333333333332,29.152173913043477,30.652173913043477,32.65217391304348,34.104166666666664,,,,
Grant Av,64.34782608695652,62.31521739130435,59.81521739130435,57.81521739130435,56.81521739130435,54.808510638297875,51.20652173913044,47.68478260869565,39.67391304347826,36.54347826086956,35.54347826086956,32.53260869565217,30.53191489361702,28.03191489361702,26.03191489361702,24.5,21.5,19.0,17.5,13.03191489361702,10.532608695652174,7.0,2.0,0.0,1.5,3.0,4.5,6.5,8.0,9.48,10.521739130434783,12.521739130434783,19.52173913043478,23.979166666666668,25.708333333333332,27.652173913043477,29.152173913043477,31.152173913043477,32.604166666666664,,,,
80 St,65.84782608695652,63.81521739130435,61.31521739130435,59.31521739130435,58.31521739130435,56.308510638297875,52.70652173913044,49.18478260869565,41.17391304347826,38.04347826086956,37.04347826086956,34.03260869565217,32.03191489361702,29.53191489361702,27.53191489361702,26.0,23.0,20.5,19.0,14.53191489361702,12.032608695652174,8.5,3.5,1.5,0.0,1.5,3.0,5.0,6.5,7.98,9.021739130434783,11.021739130434783,18.02173913043478,22.479166666666668,24.208333333333332,26.152173913043477,27.652173913043477,29.652173913043477,31.104166666666668,,,,
88 St,67.84782608695652,65.81521739130434,63.31521739130435,61.31521739130435,60.31521739130435,58.308510638297875,54.70652173913044,51.18478260869565,43.17391304347826,40.04347826086956,39.04347826086956,36.03260869565217,34.03191489361702,31.53191489361702,29.53191489361702,28.0,25.0,22.5,21.0,16.53191489361702,14.032608695652174,10.5,5.5,3.5,2.0,0.0,1.5,3.5,5.0,6.48,7.521739130434782,9.521739130434783,16.52173913043478,20.979166666666668,22.708333333333332,24.652173913043477,26.152173913043477,28.152173913043477,29.604166666666668,,,,
Rockaway Blvd,69.34782608695652,67.31521739130434,64.81521739130434,62.81521739130435,61.81521739130435,59.808510638297875,56.20652173913044,52.68478260869565,44.67391304347826,41.54347826086956,40.54347826086956,37.53260869565217,35.53191489361702,33.03191489361702,31.03191489361702,29.5,26.5,24.0,22.5,18.03191489361702,15.532608695652174,12.0,7.0,5.0,3.5,1.5,0.0,1.5,3.0,4.5,4.5,6.5,13.5,18.020833333333332,19.75,21.73913043478261,23.23913043478261,25.23913043478261,26.75,,,,
