,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Liberty Av,Van Siclen Av,Shepherd Av,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
34 St-Penn Station,29.196428571428573,27.196428571428573,24.696428571428573,22.696428571428573,21.696428571428573,19.72222222222222,16.089285714285715,12.61111111111111,4.37037037037037,1.0,0.0,3.0945945945945947,5.594594594594595,8.092105263157896,10.094594594594595,11.594594594594595,14.85135135135135,16.85135135135135,18.85135135135135,23.986486486486488,26.916666666666668,30.41891891891892,,,,35.666666666666664,38.32857142857143,39.375,41.263888888888886,42.763888888888886,44.15625,45.65625,47.15625,47.575,49.575,57.026315789473685,61.607142857142854,63.107142857142854,65.16666666666667,66.66666666666667,68.66666666666667,70.16666666666667,60.625,62.625,64.125,67.0
14 St,32.357142857142854,30.357142857142858,27.857142857142858,25.857142857142858,24.857142857142858,22.88888888888889,19.25,15.777777777777779,7.537037037037037,4.160714285714286,3.1607142857142856,0.0,2.5,5.0,7.0,8.5,11.743243243243244,13.743243243243244,15.743243243243244,20.864864864864863,23.791666666666668,27.283783783783782,,,,32.52777777777778,35.18571428571428,36.22222222222222,38.111111111111114,39.611111111111114,40.96875,42.46875,43.96875,44.425,46.425,53.86842105263158,58.42857142857143,59.92857142857143,61.96666666666667,63.46666666666667,65.46666666666667,66.96666666666667,57.5,59.5,61.0,63.833333333333336
W 4 St-Wash Sq,34.357142857142854,32.357142857142854,29.857142857142858,27.857142857142858,26.857142857142858,24.88888888888889,21.25,17.77777777777778,9.537037037037036,6.160714285714286,5.160714285714286,2.0,0.0,2.5,4.5,6.0,9.256756756756756,11.256756756756756,13.256756756756756,18.39189189189189,21.319444444444443,24.824324324324323,,,,30.069444444444443,32.72857142857143,33.77777777777778,35.666666666666664,37.166666666666664,38.5625,40.0625,41.5625,41.975,43.975,51.421052631578945,56.0,57.5,59.56666666666667,61.06666666666667,63.06666666666667,64.56666666666666,55.0,57.0,58.5,61.333333333333336
Canal St,36.857142857142854,34.857142857142854,32.357142857142854,30.357142857142858,29.357142857142858,27.38888888888889,23.75,20.27777777777778,12.037037037037036,8.660714285714286,7.660714285714286,4.5,2.5,0.0,2.0,3.5,6.756756756756757,8.756756756756756,10.756756756756756,15.891891891891891,18.819444444444443,22.324324324324323,,,,27.569444444444443,30.228571428571428,31.27777777777778,33.166666666666664,34.666666666666664,36.0625,37.5625,39.0625,39.475,41.475,48.921052631578945,53.5,55.0,57.06666666666667,58.56666666666667,60.56666666666667,62.06666666666667,52.5,54.5,56.0,58.833333333333336
Chambers St,38.857142857142854,36.857142857142854,34.357142857142854,32.357142857142854,31.357142857142858,29.38888888888889,25.75,22.27777777777778,14.037037037037036,10.660714285714286,9.660714285714286,6.5,4.5,2.0,0.0,1.5,4.756756756756757,6.756756756756757,8.756756756756756,13.891891891891891,16.819444444444443,20.324324324324323,,,,25.569444444444443,28.228571428571428,29.27777777777778,31.166666666666668,32.666666666666664,34.0625,35.5625,37.0625,37.475,39.475,46.921052631578945,51.5,53.0,55.06666666666667,56.56666666666667,58.56666666666667,60.06666666666667,50.5,52.5,54.0,56.833333333333336
Fulton St,40.357142857142854,38.357142857142854,35.857142857142854,33.857142857142854,32.857142857142854,30.88888888888889,27.25,23.77777777777778,15.537037037037036,12.160714285714286,11.160714285714286,8.0,6.0,3.5,1.5,0.0,3.2567567567567566,5.256756756756757,7.256756756756757,12.391891891891891,15.319444444444445,18.824324324324323,,,,24.069444444444443,26.728571428571428,27.77777777777778,29.666666666666668,31.166666666666668,32.5625,34.0625,35.5625,35.975,37.975,45.421052631578945,50.0,51.5,53.56666666666667,55.06666666666667,57.06666666666667,58.56666666666667,49.0,51.0,52.5,55.333333333333336
High St,43.357142857142854,41.357142857142854,38.857142857142854,36.857142857142854,35.857142857142854,33.888888888888886,30.25,26.77777777777778,18.537037037037038,15.160714285714286,14.160714285714286,11.0,9.0,6.5,4.5,3.0,0.0,2.0,4.0,9.135135135135135,12.055555555555555,15.567567567567568,,,,20.805555555555557,23.457142857142856,24.51388888888889,26.40277777777778,27.90277777777778,29.3125,30.8125,32.3125,32.7,34.7,42.13157894736842,46.714285714285715,48.214285714285715,50.3,51.8,53.8,55.3,45.625,47.625,49.125,51.833333333333336
Jay St-MetroTech,45.857142857142854,43.857142857142854,41.357142857142854,39.357142857142854,38.357142857142854,36.388888888888886,32.75,29.27777777777778,21.037037037037038,17.660714285714285,16.660714285714285,13.5,11.5,9.0,7.0,5.5,2.5,0.0,2.0,7.135135135135135,10.055555555555555,13.567567567567568,,,,18.805555555555557,21.457142857142856,22.51388888888889,24.40277777777778,25.90277777777778,27.3125,28.8125,30.3125,30.7,32.7,40.13157894736842,44.714285714285715,46.214285714285715,48.3,49.8,51.8,53.3,43.625,45.625,47.125,49.833333333333336
Hoyt-Schermerhorn Sts,47.5,45.5,43.0,41.0,40.0,38.03703703703704,34.392857142857146,30.925925925925927,22.685185185185187,19.303571428571427,18.303571428571427,15.148148148148149,13.153846153846153,10.648148148148149,8.648148148148149,7.153846153846154,4.148148148148148,1.6538461538461537,0.0,5.135135135135135,8.055555555555555,11.567567567567568,,,,16.805555555555557,19.457142857142856,20.51388888888889,22.40277777777778,23.90277777777778,25.3125,26.8125,28.3125,28.7,30.7,38.13157894736842,42.714285714285715,44.214285714285715,46.3,47.8,49.8,51.3,41.625,43.625,45.125,47.833333333333336
Nostrand Av,52.0,50.0,47.5,45.5,44.5,42.53703703703704,38.892857142857146,35.425925925925924,27.185185185185187,23.803571428571427,22.803571428571427,19.64814814814815,17.653846153846153,15.148148148148149,13.148148148148149,11.653846153846153,8.648148148148149,6.153846153846154,4.5,0.0,2.9166666666666665,6.4324324324324325,,,,11.666666666666666,14.314285714285715,15.375,17.26388888888889,18.76388888888889,20.15625,21.65625,23.15625,23.575,25.575,33.0,37.57142857142857,39.07142857142857,41.166666666666664,42.666666666666664,44.666666666666664,46.166666666666664,36.5,38.5,40.0,42.666666666666664
