================================================================================
A Train - Weekday - Combined Directions
Travel Times (minutes)
================================================================================

Upper triangle (above diagonal): to Manhattan
Lower triangle (below diagonal): to Queens
Diagonal: Same station = 0 minutes

                                   Inwood-207 St  Dyckman St     190 St     181 St     175 St     168 St     145 St     125 St  59 St-Columbus Circle  42 St-Port Authority Bus Terminal  34 St-Penn Station      14 St  W 4 St-Wash Sq   Canal St  Chambers St  Fulton St    High St  Jay St-MetroTech  Hoyt-Schermerhorn Sts  Nostrand Av   Utica Av  Broadway Junction  Euclid Av   Grant Av      80 St      88 St  Rockaway Blvd    104 St    111 St  Ozone Park-Lefferts Blvd  Aqueduct-N Conduit Av  Aqueduct Racetrack  Howard Beach-JFK Airport  Broad Channel  Beach 67 St  Beach 60 St  Beach 44 St  Beach 36 St  Beach 25 St  Far Rockaway-Mott Av  Beach 90 St  Beach 98 St  Beach 105 St  Rockaway Park-Beach 116 St
14 St                                  32.357143   30.357143  27.857143  25.857143  24.857143  22.888889  19.250000  15.777778               7.537037                           4.160714            3.160714   0.000000        2.500000   5.000000     7.000000   8.500000  11.743243         13.743243              15.743243    20.864865  23.791667          27.283784  32.527778  35.185714  36.222222  38.111111      39.611111  40.96875  42.46875                  43.96875              44.425000           43.425000                 46.425000      53.868421    58.428571    59.928571    61.966667    63.466667    65.466667             66.966667    57.500000    59.500000     61.000000                   63.833333
W 4 St-Wash Sq                         34.357143   32.357143  29.857143  27.857143  26.857143  24.888889  21.250000  17.777778               9.537037                           6.160714            5.160714   2.000000        0.000000   2.500000     4.500000   6.000000   9.256757         11.256757              13.256757    18.391892  21.319444          24.824324  30.069444  32.728571  33.777778  35.666667      37.166667  38.56250  40.06250                  41.56250              41.975000           40.975000                 43.975000      51.421053    56.000000    57.500000    59.566667    61.066667    63.066667             64.566667    55.000000    57.000000     58.500000                   61.333333
Canal St                               36.857143   34.857143  32.357143  30.357143  29.357143  27.388889  23.750000  20.277778              12.037037                           8.660714            7.660714   4.500000        2.500000   0.000000     2.000000   3.500000   6.756757          8.756757              10.756757    15.891892  18.819444          22.324324  27.569444  30.228571  31.277778  33.166667      34.666667  36.06250  37.56250                  39.06250              39.475000           38.475000                 41.475000      48.921053    53.500000    55.000000    57.066667    58.566667    60.566667             62.066667    52.500000    54.500000     56.000000                   58.833333
Chambers St                            38.857143   36.857143  34.357143  32.357143  31.357143  29.388889  25.750000  22.277778              14.037037                          10.660714            9.660714   6.500000        4.500000   2.000000     0.000000   1.500000   4.756757          6.756757               8.756757    13.891892  16.819444          20.324324  25.569444  28.228571  29.277778  31.166667      32.666667  34.06250  35.56250                  37.06250              37.475000           36.475000                 39.475000      46.921053    51.500000    53.000000    55.066667    56.566667    58.566667             60.066667    50.500000    52.500000     54.000000                   56.833333
Fulton St                              40.357143   38.357143  35.857143  33.857143  32.857143  30.888889  27.250000  23.777778              15.537037                          12.160714           11.160714   8.000000        6.000000   3.500000     1.500000   0.000000   3.256757          5.256757               7.256757    12.391892  15.319444          18.824324  24.069444  26.728571  27.777778  29.666667      31.166667  32.56250  34.06250                  35.56250              35.975000           34.975000                 37.975000      45.421053    50.000000    51.500000    53.566667    55.066667    57.066667             58.566667    49.000000    51.000000     52.500000                   55.333333
High St                                43.357143   41.357143  38.857143  36.857143  35.857143  33.888889  30.250000  26.777778              18.537037                          15.160714           14.160714  11.000000        9.000000   6.500000     4.500000   3.000000   0.000000          2.000000               4.000000     9.135135  12.055556          15.567568  20.805556  23.457143  24.513889  26.402778      27.902778  29.31250  30.81250                  32.31250              32.700000           31.700000                 34.700000      42.131579    46.714286    48.214286    50.300000    51.800000    53.800000             55.300000    45.625000    47.625000     49.125000                   51.833333
Jay St-MetroTech                       45.857143   43.857143  41.357143  39.357143  38.357143  36.388889  32.750000  29.277778              21.037037                          17.660714           16.660714  13.500000       11.500000   9.000000     7.000000   5.500000   2.500000          0.000000               2.000000     7.135135  10.055556          13.567568  18.805556  21.457143  22.513889  24.402778      25.902778  27.31250  28.81250                  30.31250              30.700000           29.700000                 32.700000      40.131579    44.714286    46.214286    48.300000    49.800000    51.800000             53.300000    43.625000    45.625000     47.125000                   49.833333
Hoyt-Schermerhorn Sts                  47.500000   45.500000  43.000000  41.000000  40.000000  38.037037  34.392857  30.925926              22.685185                          19.303571           18.303571  15.148148       13.153846  10.648148     8.648148   7.153846   4.148148          1.653846               0.000000     5.135135   8.055556          11.567568  16.805556  19.457143  20.513889  22.402778      23.902778  25.31250  26.81250                  28.31250              28.700000           27.700000                 30.700000      38.131579    42.714286    44.214286    46.300000    47.800000    49.800000             51.300000    41.625000    43.625000     45.125000                   47.833333
Nostrand Av                            52.000000   50.000000  47.500000  45.500000  44.500000  42.537037  38.892857  35.425926              27.185185                          23.803571           22.803571  19.648148       17.653846  15.148148    13.148148  11.653846   8.648148          6.153846               4.500000     0.000000   2.916667           6.432432  11.666667  14.314286  15.375000  17.263889      18.763889  20.15625  21.65625                  23.15625              23.575000           22.575000                 25.575000      33.000000    37.571429    39.071429    41.166667    42.666667    44.666667             46.166667    36.500000    38.500000     40.000000                   42.666667
Utica Av                               54.500000   52.500000  50.000000  48.000000  47.000000  45.037037  41.392857  37.925926              29.685185                          26.303571           25.303571  22.148148       20.153846  17.648148    15.648148  14.153846  11.148148          8.653846               7.000000     2.500000   0.000000           3.500000   8.722222  11.357143  12.430556  14.319444      15.819444  17.21875  18.71875                  20.21875              20.650000           19.650000                 22.650000      30.078947    34.678571    36.178571    38.300000    39.800000    41.800000             43.300000    33.500000    35.500000     37.000000                   39.666667
Broadway Junction                      58.000000   56.000000  53.500000  51.500000  50.500000  48.537037  44.892857  41.425926              33.185185                          29.803571           28.803571  25.648148       23.653846  21.148148    19.148148  17.653846  14.648148         12.153846              10.500000     6.000000   3.500000           0.000000   5.083333   7.714286   8.791667  10.680556      12.180556  13.59375  15.09375                  16.59375              17.000000           16.000000                 19.000000      26.421053    30.964286    32.464286    34.600000    36.100000    38.100000             39.600000    30.000000    32.000000     33.500000                   36.166667
Euclid Av                              63.160714   61.160714  58.660714  56.660714  55.660714  53.703704  50.053571  46.592593              38.351852                          34.964286           33.964286  30.814815       28.826923  26.370370    24.370370  22.865385  19.851852         17.365385              15.711538    11.153846   8.653846           5.000000   0.000000   1.900000   3.000000   4.888889       6.388889   7.90625   9.40625                  10.90625              11.125000           10.125000                 13.125000      20.526316    25.071429    26.571429    28.700000    30.200000    32.200000             33.700000    24.000000    26.000000     27.500000                   30.000000
Grant Av                               65.240741   63.240741  60.740741  58.740741  57.740741  55.788462  52.129630  48.673077              40.423077                          37.018519           36.018519  32.865385       30.880000  28.423077    26.423077  24.923077  21.907407         19.423077              17.769231    13.211538  10.711538           7.060000   2.000000   0.000000   1.111111   3.000000       4.500000   6.06250   7.56250                   9.06250               9.225000            8.225000                 11.225000      18.631579    23.214286    24.714286    26.866667    28.366667    30.366667             31.866667    22.000000    24.000000     25.500000                   28.000000
80 St                                  66.740741   64.740741  62.240741  60.240741  59.240741  57.288462  53.629630  50.173077              41.923077                          38.518519           37.518519  34.365385       32.380000  29.923077    27.923077  26.423077  23.407407         20.923077              19.269231    14.711538  12.211538           8.560000   3.500000   1.500000   0.000000   1.888889       3.388889   4.90625   6.40625                   7.90625               8.125000            7.125000                 10.125000      17.526316    22.071429    23.571429    25.700000    27.200000    29.200000             30.700000    21.000000    23.000000     24.500000                   27.000000
88 St                                  68.740741   66.740741  64.240741  62.240741  61.240741  59.288462  55.629630  52.173077              43.923077                          40.518519           39.518519  36.365385       34.380000  31.923077    29.923077  28.423077  25.407407         22.923077              21.269231    16.711538  14.211538          10.560000   5.500000   3.500000   2.000000   0.000000       1.500000   3.06250   4.56250                   6.06250               6.225000            5.225000                  8.225000      15.631579    20.214286    21.714286    23.866667    25.366667    27.366667             28.866667    19.000000    21.000000     22.500000                   25.000000
Rockaway Blvd                          70.240741   68.240741  65.740741  63.740741  62.740741  60.788462  57.129630  53.673077              45.423077                          42.018519           41.018519  37.865385       35.880000  33.423077    31.423077  29.923077  26.907407         24.423077              22.769231    18.211538  15.711538          12.060000   7.000000   5.000000   3.500000   1.500000       0.000000   1.50000   3.00000                   4.50000               4.500000            3.500000                  6.500000      13.894737    18.392857    19.892857    21.900000    23.400000    25.400000             26.900000    17.500000    19.500000     21.000000                   23.500000
104 St                                 71.933333   70.035714  67.535714  65.535714  64.535714  62.535714  58.800000  55.392857              47.107143                          43.633333           42.633333  39.464286       37.464286  34.964286    32.964286  31.464286  28.433333         25.933333              24.266667    19.678571  17.178571          13.607143   8.500000   6.500000   5.000000   3.000000       1.500000   0.00000   1.50000                   3.00000                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN          NaN          NaN           NaN                         NaN
111 St                                 75.933333   73.821429  71.321429  69.321429  68.321429  66.321429  62.533333  59.035714              50.750000                          47.233333           46.233333  43.035714       41.035714  38.535714    36.535714  35.035714  31.966667         29.466667              27.800000    23.178571  20.678571          17.107143  11.928571   9.928571   8.428571   6.428571       4.928571   2.00000   0.00000                   1.50000                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN          NaN          NaN           NaN                         NaN
Ozone Park-Lefferts Blvd               77.433333   75.321429  72.821429  70.821429  69.821429  67.821429  64.033333  60.535714              52.250000                          48.733333           47.733333  44.535714       42.535714  40.035714    38.035714  36.535714  33.466667         30.966667              29.300000    24.678571  22.178571          18.607143  13.428571  11.428571   9.928571   7.928571       6.428571   3.50000   1.50000                   0.00000                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN          NaN          NaN           NaN                         NaN
Aqueduct-N Conduit Av                  73.500000   71.423077  68.923077  66.923077  65.923077  64.000000  60.416667  56.916667              48.708333                          45.375000           44.375000  41.250000       39.272727  36.875000    34.875000  33.375000  30.375000         27.909091              26.272727    21.750000  19.250000          15.500000  10.500000   8.500000   7.000000   5.000000       3.500000       NaN       NaN                       NaN               0.000000                 NaN                  2.000000       9.394737    13.892857    15.392857    17.400000    18.900000    20.900000             22.400000    13.000000    15.000000     16.500000                   19.000000
Aqueduct Racetrack                           NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN                    NaN                                NaN                 NaN        NaN             NaN        NaN          NaN        NaN        NaN               NaN                    NaN          NaN        NaN                NaN        NaN        NaN        NaN        NaN            NaN       NaN       NaN                       NaN               1.000000            0.000000                  3.000000      10.394737    14.892857    16.392857    18.400000    19.900000    21.900000             23.400000    14.000000    16.000000     17.500000                   20.000000
