,125 St,86 St,59 St,Grand Central-42 St,14 St-Union Sq,Brooklyn Bridge-City Hall
125 St,0.0,2.078530643319376,3.589645984012181,4.570574800152265,6.976944550183989,9.708679101636847
86 St,3.2031930160248745,0.0,1.5111153406928053,2.4920441568328897,4.8984139068646115,7.630148458317471
59 St,4.398708442956229,1.1955154269313555,0.0,0.980928816140084,3.3872985661718067,6.119033117624667
Grand Central-42 St,5.254066012915569,2.050872996890697,0.8553575699593399,0.0,2.176322801674914,4.908057353127775
14 St-Union Sq,7.253683329347044,4.050490313322172,2.8549748863908153,2.002320019134178,0.0,2.7317345514528606
Brooklyn Bridge-City Hall,10.680279837359482,7.477086821334609,6.281571394403253,5.428916527146615,3.4265965080124365,0.0
